,0,1,2
0,12660,14840,14220
1,12660,16520,17860
2,16720,18160,20700
3,16720,18440,23000
4,16760,19760,23000
5,17740,19760,24280
6,18360,19760,25820
7,18360,19760,27160
8,18360,19900,27560
9,19020,22020,28160
10,20920,22060,31100
11,21620,22540,31100
12,21620,22540,31100
13,24320,22540,31100
14,24320,23640,32040
15,24320,23640,32040
16,24320,23640,32480
17,24820,23640,32720
18,25080,23940,32720
19,26320,23940,32720
20,26320,23940,32720
21,27180,23940,32720
22,27300,24140,32720
23,27300,25420,32720
24,29140,25620,33760
25,29140,26020,34320
26,29620,27200,34440
27,30060,28000,34440
28,30060,28340,34440
29,30440,28700,34840
30,30440,29060,35920
