,0,1,2
0,1717328351.6596425,1717330204.535546,1717332069.069575
1,1717328389.6552014,1717330244.0676095,1717332106.6219294
2,1717328432.3365734,1717330284.4211812,1717332147.2204728
3,1717328475.3200984,1717330323.468789,1717332184.7414155
4,1717328518.956931,1717330374.6073437,1717332227.7815745
5,1717328563.5537946,1717330430.8017948,1717332268.5669832
6,1717328617.06053,1717330479.7168875,1717332313.226895
7,1717328667.9505446,1717330537.3556306,1717332356.3120415
8,1717328714.1691735,1717330595.6015236,1717332403.0156703
9,1717328775.5239055,1717330643.218515,1717332462.7687418
10,1717328838.4041653,1717330690.735893,1717332513.2773142
11,1717328898.6867404,1717330758.7109294,1717332576.278438
12,1717328955.1279533,1717330819.9046543,1717332634.7984102
13,1717329024.4289494,1717330877.896491,1717332694.5548193
14,1717329097.6079242,1717330938.9784443,1717332752.9533758
15,1717329158.307615,1717330997.7409332,1717332821.8536406
16,1717329221.1490169,1717331068.2127147,1717332885.9515395
17,1717329285.7760725,1717331130.6419392,1717332946.8141513
18,1717329347.7018454,1717331213.113523,1717333013.2043402
19,1717329414.9216905,1717331279.195653,1717333080.2130048
20,1717329475.3683357,1717331345.0055745,1717333159.202242
21,1717329548.6107419,1717331403.610674,1717333225.0003326
22,1717329600.2021518,1717331473.5454757,1717333293.5771222
23,1717329670.3522751,1717331545.3419065,1717333351.9136665
24,1717329746.4176807,1717331622.5389497,1717333411.600452
25,1717329819.802667,1717331699.2888694,1717333481.4389234
26,1717329894.4565787,1717331779.6931229,1717333543.1459348
27,1717329968.404342,1717331852.0356245,1717333616.5607684
28,1717330029.3281102,1717331918.6878238,1717333686.9828677
29,1717330104.9438658,1717331970.9629612,1717333752.2841485
30,1717330166.0358417,1717332034.4953835,1717333822.8384578
