,0,1,2
0,12660,15280,14560
1,12660,15280,14560
2,12660,15280,14560
3,12660,15280,14960
4,12660,15280,14960
5,12660,15280,14960
6,12660,15280,14960
7,12660,15320,14960
8,13000,15720,14960
9,13000,15760,14960
10,13440,15760,14960
11,13540,16200,14960
12,13580,16200,14960
13,13580,16800,14960
14,13580,16800,14960
15,13580,17440,14960
16,13980,17440,14960
17,13980,17440,14960
18,13980,17540,14960
19,14080,17540,14960
20,14580,17540,14960
21,15020,17540,15560
22,15020,17980,15560
23,15060,18380,15560
24,15500,18380,15560
25,15540,18380,15560
26,15580,18380,15560
27,15620,18380,15560
28,15620,18380,15560
29,15660,18380,15560
30,15660,18380,15560
