,0,1,2
0,1717589556.448096,1717589699.9543588,1717589846.6992898
1,1717589559.1979105,1717589702.2876291,1717589849.444793
2,1717589563.5084982,1717589705.807853,1717589852.5753396
3,1717589565.07333,1717589709.5066705,1717589855.243823
4,1717589567.7124615,1717589712.9211085,1717589860.164835
5,1717589568.3360422,1717589717.2476304,1717589864.0652492
6,1717589572.6391509,1717589719.5719616,1717589868.90025
7,1717589575.3176255,1717589725.7943776,1717589872.6008637
8,1717589580.5941846,1717589727.914475,1717589874.786405
9,1717589583.7858765,1717589732.4037955,1717589882.356985
10,1717589588.2347548,1717589735.8926525,1717589886.1292996
11,1717589593.4439883,1717589740.1283476,1717589893.6756246
12,1717589599.4910371,1717589745.0649407,1717589898.726687
13,1717589602.739608,1717589751.479991,1717589906.4374528
14,1717589605.8627903,1717589755.2801461,1717589913.2934809
15,1717589610.5511122,1717589760.7584224,1717589919.2111871
16,1717589615.9256227,1717589764.7761123,1717589928.3669038
17,1717589621.2936146,1717589772.2137043,1717589934.7205951
18,1717589628.5034153,1717589778.7404923,1717589942.7587621
19,1717589632.514969,1717589784.44174,1717589948.5289192
20,1717589636.2847106,1717589790.1448848,1717589952.823517
21,1717589642.135775,1717589796.028078,1717589959.8975914
22,1717589644.317577,1717589801.562879,1717589966.5143485
23,1717589646.7256794,1717589807.521368,1717589971.6322694
24,1717589652.2504017,1717589813.7277873,1717589978.0181944
25,1717589659.3953657,1717589819.848663,1717589983.3886182
26,1717589663.5571034,1717589825.6832552,1717589990.0136476
27,1717589669.9473188,1717589830.6199973,1717589998.3734343
28,1717589676.9647384,1717589833.5060956,1717590005.2416158
29,1717589684.7012699,1717589838.8735383,1717590009.3372436
30,1717589693.4646623,1717589840.4610744,1717590010.558763
