,0,1,2
0,11717.4,11821.8,11901.4
1,14208.4,13777.4,14233.8
2,15850.0,15145.4,15876.4
3,17181.6,16490.2,17527.8
4,18582.2,17402.0,19083.0
5,19431.6,18642.0,20665.4
6,20305.0,19831.8,21879.4
7,21228.2,20957.0,22710.0
8,22457.2,21821.4,23478.0
9,23408.4,22802.4,23977.4
10,23964.2,23621.8,24342.8
11,24790.6,24143.4,24798.0
12,25771.0,24718.0,25184.0
13,26302.0,25244.8,25619.4
14,26824.0,25871.8,25932.6
15,27317.0,26471.4,26272.2
16,27579.6,26574.8,26732.8
17,28056.6,26865.6,27062.6
18,28248.4,27089.2,27514.6
19,28449.8,27526.4,27935.4
20,28656.2,27967.6,28116.6
21,28857.8,28415.6,28477.6
22,29011.0,28571.0,28909.0
23,29218.0,28892.4,29401.2
24,29539.4,29091.2,29717.8
25,29619.6,29278.6,29900.2
26,29853.4,29460.6,30073.0
27,30106.2,29712.2,30349.6
28,30351.2,29894.4,30546.4
29,30541.2,29949.2,30624.4
30,30850.4,29998.4,30863.2
