,0,1,2
0,15920,15860,16520
1,16140,16640,16600
2,18660,18040,19620
3,20380,20100,20600
4,21000,22820,22220
5,22500,23220,22840
6,22500,23220,23520
7,24180,23220,25900
8,25660,24780,25900
9,25660,25280,25900
10,26700,25740,26040
11,27420,25920,27040
12,28220,26140,27040
13,28220,27180,27040
14,28280,27840,28500
15,28960,27840,28500
16,29000,29120,28500
17,29360,29120,28500
18,29360,29640,29320
19,29760,29640,29320
20,30220,29820,29860
21,30240,29820,30520
22,30620,29820,30520
23,30620,29820,30840
24,31780,30000,30880
25,31780,30840,31440
26,31780,31000,31440
27,31780,31000,31720
28,31820,31040,31720
29,31820,31040,31780
30,32120,31040,32180
