,0,1,2
0,1717328489.6647048,1717331738.6209574,1717334966.788618
1,1717328563.6278555,1717331808.520252,1717335042.5993423
2,1717328648.1021292,1717331889.4033992,1717335124.3915477
3,1717328740.7188892,1717331960.1226633,1717335207.6005015
4,1717328813.589376,1717332050.5065687,1717335306.2493243
5,1717328906.048661,1717332141.218612,1717335408.6687796
6,1717329015.1021848,1717332236.4406037,1717335517.01239
7,1717329110.4253263,1717332342.5707395,1717335611.2279398
8,1717329206.0055747,1717332435.4036074,1717335714.128813
9,1717329317.3486009,1717332541.0496597,1717335811.4423208
10,1717329415.1794484,1717332639.527235,1717335916.112619
11,1717329526.9382482,1717332751.084742,1717336008.3907838
12,1717329638.343896,1717332850.7635694,1717336108.742719
13,1717329744.653467,1717332955.418154,1717336214.1655052
14,1717329859.71597,1717333066.044385,1717336318.6043313
15,1717329953.5789363,1717333164.927693,1717336438.4189932
16,1717330063.2893014,1717333290.6087346,1717336551.2739072
17,1717330173.500241,1717333404.1081781,1717336659.0737777
18,1717330296.68283,1717333526.0743916,1717336766.1326728
19,1717330411.2389617,1717333638.7072697,1717336887.506066
20,1717330529.4649642,1717333760.2280164,1717336994.7709577
21,1717330626.5165186,1717333892.7821116,1717337119.9801302
22,1717330755.1792977,1717333994.1217825,1717337229.9800434
23,1717330858.4794128,1717334120.266176,1717337347.117274
24,1717330976.4298232,1717334227.734689,1717337448.7232797
25,1717331093.8472085,1717334344.4183042,1717337583.2997057
26,1717331207.7067087,1717334449.8049421,1717337698.9680088
27,1717331328.3088477,1717334561.2035604,1717337797.2168858
28,1717331440.5918365,1717334668.776498,1717337920.0036116
29,1717331548.4489665,1717334781.6372404,1717338053.5829427
30,1717331666.3500352,1717334899.088509,1717338182.0127645
