,0,1,2
0,15920,15860,15520
1,15920,17840,16680
2,18160,18640,16680
3,19460,18140,18300
4,22300,19540,20160
5,22300,20300,20960
6,23160,21200,22240
7,23160,23000,22900
8,24340,23380,23140
9,24640,24280,24320
10,24740,24680,24420
11,24840,25120,24640
12,25740,25960,26600
13,26560,27540,27960
14,27140,27540,27680
15,27140,28100,27680
16,27500,28100,27920
17,27800,28100,27980
18,28740,28260,28680
19,28740,28540,28760
20,29100,28800,28920
21,29360,28880,29520
22,29200,29680,29420
23,29300,29680,29420
24,29300,29800,29720
25,29560,29800,29920
26,29760,29780,29920
27,30160,30080,29920
28,30260,30080,30120
29,30260,30080,30800
30,30520,30080,30980
