,0,1,2
0,1717328551.2228942,1717331431.1033182,1717334446.3568857
1,1717328624.703108,1717331495.7361934,1717334512.3976293
2,1717328696.330296,1717331554.9292142,1717334590.4967387
3,1717328778.8069725,1717331637.6354573,1717334659.5779846
4,1717328864.589104,1717331720.848302,1717334730.5192907
5,1717328945.2103987,1717331809.1282806,1717334795.082578
6,1717329046.065107,1717331895.0859978,1717334884.4550517
7,1717329152.4585187,1717331993.4826548,1717334983.9668221
8,1717329247.5892923,1717332090.512138,1717335078.3907533
9,1717329345.6850402,1717332183.3785253,1717335169.7794034
10,1717329437.3865242,1717332271.586346,1717335262.7197874
11,1717329528.434971,1717332367.1185765,1717335362.6511495
12,1717329612.7244964,1717332471.0423174,1717335463.0116465
13,1717329714.871555,1717332572.2115166,1717335558.9009352
14,1717329814.9168293,1717332673.9167585,1717335656.8090076
15,1717329919.437727,1717332779.4025586,1717335758.8427453
16,1717330008.7298872,1717332887.0220697,1717335859.543102
17,1717330104.8081007,1717332991.4076896,1717335965.3254554
18,1717330181.402048,1717333103.470639,1717336077.8906028
19,1717330277.631033,1717333215.9866624,1717336177.6236055
20,1717330373.3565886,1717333329.5272954,1717336269.6102703
21,1717330471.997568,1717333428.762027,1717336351.3891366
22,1717330558.5293515,1717333540.0267515,1717336445.719578
23,1717330645.0620654,1717333650.6047297,1717336558.7234864
24,1717330725.9132977,1717333739.923147,1717336664.86171
25,1717330837.6131966,1717333840.407878,1717336776.3557727
26,1717330942.137141,1717333946.6819742,1717336852.1376479
27,1717331049.0643983,1717334049.2934234,1717336950.9938898
28,1717331151.9590957,1717334143.3847995,1717337050.663764
29,1717331256.4521344,1717334258.2154195,1717337163.7975583
30,1717331368.4686675,1717334372.5544856,1717337278.5059612
