,0,1,2
0,12660,13840,12320
1,13200,15640,12500
2,16000,16680,13440
3,16980,19400,14360
4,16980,19400,18460
5,18920,20500,18960
6,18920,20500,18960
7,19760,21940,19360
8,21700,22340,19360
9,21700,22340,20800
10,22500,22340,20800
11,22500,23740,21380
12,23060,25100,21980
13,23060,25100,22100
14,24440,25100,22100
15,24440,25100,22440
16,24800,25100,23120
17,25160,26180,23240
18,25160,26180,23580
19,25740,26400,24700
20,25920,26400,24720
21,25920,26580,24720
22,26820,27640,25400
23,26820,27640,25680
24,27440,27640,25800
25,27440,27640,26200
26,27440,27680,26220
27,27440,27700,26440
28,27440,27700,26440
29,27940,27700,26440
30,27940,27700,26440
