,0,1,2
0,1717589537.1527839,1717589909.598861,1717590280.9533758
1,1717589544.8208282,1717589917.3192255,1717590287.9170349
2,1717589554.375939,1717589925.3378282,1717590291.7940423
3,1717589563.3694692,1717589935.287681,1717590297.8678057
4,1717589574.2409203,1717589942.5900173,1717590306.9017704
5,1717589586.9987366,1717589953.178265,1717590315.7411394
6,1717589592.8850725,1717589960.9222383,1717590328.070823
7,1717589604.1387496,1717589971.5555563,1717590339.1522312
8,1717589619.563024,1717589981.3555615,1717590347.8036015
9,1717589631.1112535,1717589990.8567493,1717590361.175792
10,1717589642.1927543,1717590007.6605256,1717590370.5284107
11,1717589653.6396463,1717590016.5590825,1717590383.6611989
12,1717589666.4945428,1717590030.2697809,1717590396.4397779
13,1717589678.6049116,1717590041.963241,1717590408.4943728
14,1717589689.05266,1717590057.0646884,1717590426.6788216
15,1717589701.3349092,1717590068.4504945,1717590439.1445873
16,1717589714.0225568,1717590084.0441182,1717590446.912262
17,1717589729.042185,1717590099.7197146,1717590457.3076158
18,1717589738.6586635,1717590112.8977232,1717590467.4966514
19,1717589753.8662586,1717590128.1869357,1717590481.702342
20,1717589766.9670298,1717590142.824532,1717590499.089202
21,1717589781.9438128,1717590151.1915507,1717590516.4714108
22,1717589790.3928678,1717590172.3121545,1717590530.9148293
23,1717589804.2809336,1717590181.0346475,1717590546.0728054
24,1717589817.983953,1717590194.390416,1717590564.52124
25,1717589832.78025,1717590206.78664,1717590583.805157
26,1717589850.1604395,1717590217.625687,1717590597.7143352
27,1717589864.945923,1717590233.7851188,1717590613.6354747
28,1717589877.6015306,1717590247.9108882,1717590629.9538214
29,1717589890.8730795,1717590260.3465765,1717590644.0305552
30,1717589903.3591442,1717590275.035847,1717590655.035488
