,0,1,2
0,11717.4,11747.8,11841.8
1,13564.4,14293.6,13962.8
2,15015.6,15814.8,15315.8
3,16405.8,16843.2,16849.0
4,17628.0,17971.0,17928.0
5,18348.6,18946.8,18555.0
6,19302.2,19518.0,19189.8
7,20088.6,20686.0,20253.4
8,21117.0,21981.6,20912.6
9,22385.0,23433.6,22045.0
10,23494.0,24159.8,22933.6
11,24021.6,25128.6,23811.4
12,24316.6,26064.6,24410.0
13,24523.2,26774.6,25066.0
14,24809.8,27464.6,25597.6
15,25284.0,27963.2,25932.6
16,25887.8,28407.8,26281.8
17,26575.8,28846.2,26684.8
18,27341.4,29336.4,27254.4
19,27684.0,29587.2,27627.4
20,28432.2,29833.8,27901.2
21,29154.6,30054.6,28271.4
22,29570.2,30237.4,28329.6
23,29958.8,30408.4,28534.8
24,30044.8,30791.4,28756.2
25,30260.0,30993.4,28963.6
26,30467.2,31119.6,29246.0
27,30687.2,31367.6,29441.2
28,30817.2,31414.2,29598.8
29,30953.6,31550.0,29730.0
30,31100.8,31683.2,29985.8
