,0,1,2
0,15920,15220,15180
1,17220,16680,17480
2,18220,18760,18440
3,19140,20120,19120
4,20740,20120,19540
5,20860,22360,20280
6,22320,22360,21840
7,22320,23280,24200
8,24180,25080,23800
9,24460,25220,25000
10,24800,26520,25540
11,25240,28940,25900
12,26400,28940,26300
13,26400,28940,26760
14,26900,29520,27100
15,27860,30320,28240
16,27900,30320,28240
17,28880,30980,28360
18,30040,31380,29000
19,30440,31700,29520
20,30440,31700,29520
21,31160,31700,29520
22,31240,31700,29520
23,31240,31700,29660
24,31240,32040,29720
25,31600,32040,30800
26,31680,32100,30800
27,32320,32340,30800
28,32440,32460,31000
29,32440,32480,31460
30,33160,32640,31460
