,0,1,2
0,10848.0,11638.0,11538.0
1,12594.0,14354.0,13844.0
2,14422.0,16192.0,14846.0
3,16458.0,16638.0,17312.0
4,17926.0,18716.0,19712.0
5,19486.0,18932.0,22042.0
6,20062.0,20588.0,22632.0
7,21164.0,21448.0,23278.0
8,22444.0,21452.0,24024.0
9,22606.0,23020.0,24894.0
10,24416.0,23460.0,24910.0
11,25376.0,23558.0,25266.0
12,25376.0,24696.0,25556.0
13,25420.0,25632.0,26232.0
14,26110.0,27044.0,26788.0
15,26170.0,27718.0,27318.0
16,27486.0,27968.0,27792.0
17,28248.0,28504.0,28944.0
18,28404.0,29484.0,30228.0
19,28490.0,30620.0,30216.0
20,28706.0,31484.0,31266.0
21,28832.0,32692.0,31752.0
22,29976.0,33088.0,32176.0
23,30290.0,33504.0,33044.0
24,30670.0,33616.0,33204.0
25,30992.0,33996.0,33204.0
26,31848.0,34008.0,33252.0
27,31978.0,34012.0,33738.0
28,32632.0,34396.0,33760.0
29,33518.0,34440.0,34180.0
30,33538.0,34466.0,34180.0
