,0,1,2
0,12660,14440,14240
1,12660,14860,14640
2,13860,15140,15120
3,14180,15840,15120
4,15340,17160,15120
5,15340,17160,15120
6,15340,18300,15120
7,16640,18300,16300
8,16640,18320,19060
9,17180,19140,19060
10,17520,19140,19060
11,17520,19140,19820
12,18340,19540,19820
13,18340,19600,20020
14,19480,19600,20020
15,19480,19600,20460
16,20420,21080,20460
17,20420,21680,21400
18,20420,21680,21400
19,20820,22020,22880
20,20820,22020,22880
21,20820,22020,22880
22,20820,22020,24220
23,20940,24220,24220
24,21680,24220,24220
25,24280,25020,24640
26,24280,25020,24640
27,24280,25160,24920
28,24280,25820,24920
29,24460,25820,24920
30,24460,26020,24920
