,0,1,2
0,1717591550.2287362,1717591837.832636,1717592122.130237
1,1717591555.202435,1717591842.9077096,1717592133.4326298
2,1717591562.3113036,1717591850.9790466,1717592141.8831165
3,1717591570.5059607,1717591857.1346335,1717592149.8566492
4,1717591578.2215674,1717591866.1741009,1717592158.4718263
5,1717591584.3563635,1717591872.4114773,1717592166.4374282
6,1717591593.248491,1717591881.844738,1717592175.6290746
7,1717591603.013216,1717591889.0046296,1717592185.8705459
8,1717591613.2756693,1717591897.8796256,1717592197.655085
9,1717591622.6335268,1717591907.5504665,1717592207.4298124
10,1717591632.0056202,1717591916.8607483,1717592215.803656
11,1717591642.0689533,1717591922.443992,1717592224.6940122
12,1717591653.5509138,1717591932.4105587,1717592233.8019433
13,1717591661.9372916,1717591941.3981864,1717592244.9175053
14,1717591677.0800674,1717591952.4363163,1717592254.043215
15,1717591684.099218,1717591962.2848265,1717592265.457872
16,1717591694.282274,1717591974.5681376,1717592275.119391
17,1717591704.671964,1717591985.0879362,1717592285.995213
18,1717591709.516541,1717591994.109782,1717592292.99626
19,1717591719.2078016,1717592005.2340152,1717592302.2818992
20,1717591731.9874003,1717592013.1218576,1717592315.9941506
21,1717591743.205471,1717592021.9967875,1717592328.0472062
22,1717591751.8028405,1717592029.0204902,1717592343.8439379
23,1717591757.6581335,1717592034.934638,1717592357.6753447
24,1717591768.3225508,1717592046.7595527,1717592370.6220868
25,1717591777.4345794,1717592058.2822063,1717592383.4054234
26,1717591787.2293282,1717592069.386651,1717592400.4658105
27,1717591796.1757112,1717592084.6409078,1717592410.7678466
28,1717591808.5788636,1717592099.005101,1717592421.930742
29,1717591818.298829,1717592105.6078463,1717592431.9470885
30,1717591830.1064732,1717592116.3568594,1717592438.8924103
