,0,1,2
0,110600,98640,96210
1,115910,100200,113330
2,143960,117050,140640
3,169760,153800,159230
4,192270,176380,181890
5,213310,203230,187390
6,213310,203230,197200
7,228690,205370,221500
8,238550,228450,228190
9,238550,245930,233690
10,238550,246500,248780
11,253890,246500,250190
12,262230,250280,261940
13,269130,268350,266830
14,269130,274740,268960
15,269130,274740,268960
16,270000,274740,277480
17,277700,276090,280770
18,277700,283520,280770
19,277700,283520,280770
20,278160,283520,291810
21,279780,283520,291810
22,281370,283520,291810
23,287420,283520,293370
24,291530,286280,298710
25,293090,288770,298710
26,295940,288770,302090
27,295940,290600,302090
28,296090,290600,307010
29,296090,291540,307010
30,296090,291540,307050
31,302900,293340,308430
32,302900,293940,310500
33,302900,293940,310500
34,303020,296910,311580
35,303020,296910,311580
36,303020,296910,313800
37,304910,298110,313800
38,306290,298290,313800
39,306290,298800,319520
40,306860,298800,319670
41,306980,301050,321110
42,308210,301050,322280
43,308210,301050,328300
44,308210,301890,328300
45,309710,302040,328300
46,309710,304650,328300
47,310640,309950,328300
48,312680,309950,328800
49,314360,309950,330850
50,317900,310560,330850
51,318980,311790,332370
52,319160,311790,333480
53,319160,311790,333480
54,323510,311790,334260
55,326690,313440,335100
56,326690,314400,335160
57,326690,314460,336840
58,326690,314460,337320
59,326690,314460,338070
60,328040,315240,338070
61,328670,315720,338190
62,328820,317160,339540
63,329600,320790,340440
64,331130,320790,340590
65,331130,323760,341040
66,331670,323760,341640
67,332990,324330,341880
68,332990,324570,341880
69,334370,325380,341880
70,335930,328260,342000
71,335930,328260,342000
72,337610,329310,342180
73,337850,329610,342300
74,338600,330330,342840
75,338810,330630,342960
76,338810,331080,343830
77,339590,331800,343980
78,339590,334400,343980
79,339590,334400,345000
80,340250,334400,345000
81,340250,334400,345000
82,340340,334400,345000
83,340640,334550,345000
84,340940,334550,345000
85,340940,334550,345000
86,341660,334550,345000
87,341720,334550,345270
88,341720,334550,345270
89,341720,334550,345270
90,341720,334550,345270
91,341720,334550,345300
92,341810,334550,345750
93,341810,334700,345750
94,341810,334710,345750
95,341810,334830,345750
96,341900,334980,346140
97,342050,335420,346140
98,342050,335420,346140
99,342050,335420,346140
100,342050,339200,346290
